group,variable,value
0,1,63.48262613
1,1,63.46763347
2,1,60.65183098
3,1,62.66769778
4,1,64.86456535
5,1,69.61011273
6,1,68.06120731
7,1,67.53188352
8,1,67.31229264
9,1,69.31771264
10,1,71.38377692
11,1,68.86172932
12,1,69.96789216
13,1,65.08768717
14,1,63.09991835
15,1,64.00025228
16,1,68.88828677
17,1,69.44988811
18,1,69.45232247
19,1,67.52189513
20,1,61.99533656
21,1,65.15050849
22,1,63.03018068
23,1,62.87603426
0,2,62.23590584
1,2,62.96970202
2,2,61.30756295
3,2,61.75292063
4,2,64.49372067
5,2,65.36993556
6,2,66.8405255
7,2,66.79013003
8,2,71.57995183
9,2,66.24290079
10,2,66.09444312
11,2,68.00779677
12,2,70.88827764
13,2,66.90699859
14,2,65.10051263
15,2,70.57446842
16,2,68.03114852
17,2,66.52118085
18,2,64.92088173
19,2,69.5655283
20,2,73.44771136
21,2,64.85221478
22,2,66.01306202
23,2,64.52539223
0,3,62.43162955
1,3,63.68139611
2,3,67.73447815
3,3,62.94073427
4,3,64.64370413
5,3,68.41053614
6,3,66.34397209
7,3,67.38104945
8,3,65.93236219
9,3,68.64703193
10,3,71.48791617
11,3,66.03506136
12,3,69.24363041
13,3,65.54404825
14,3,65.24778491
15,3,70.43697058
16,3,66.64670753
17,3,64.91914022
18,3,74.16075991
19,3,62.28276134
20,3,65.73109747
21,3,66.09712468
22,3,62.26293169
23,3,62.07912846
0,4,60.84357502
1,4,60.80966976
2,4,60.197047
3,4,60.19523106
4,4,62.28426168
5,4,62.14499798
6,4,64.25784983
7,4,64.74979302
8,4,63.62117333
9,4,63.66715987
10,4,62.38206541
11,4,62.33061804
12,4,63.9421606
13,4,64.63417038
14,4,63.30548081
15,4,70.75421151
16,4,63.60378978
17,4,65.25953753
18,4,62.71162062
19,4,61.69682576
20,4,61.66524775
21,4,60.58780196
22,4,60.44652961
23,4,61.15107048
0,5,59.33791797
1,5,58.28509107
2,5,57.41821001
3,5,62.67176361
4,5,64.16729524
5,5,61.14952107
6,5,61.41326887
7,5,61.62765626
8,5,62.38225926
9,5,66.16448611
10,5,61.71744385
11,5,66.03835161
12,5,68.02872499
13,5,62.86507405
14,5,63.4113731
15,5,62.98406667
16,5,68.09132511
17,5,63.36063816
18,5,62.22193288
19,5,65.40886033
20,5,60.97826608
21,5,62.51948812
22,5,62.50935255
23,5,68.33981416
0,6,61.75029606
1,6,60.70191465
2,6,60.4389879
3,6,62.79396649
4,6,63.63424098
5,6,65.63764074
6,6,66.47267694
7,6,66.91629118
8,6,64.806587
9,6,65.50299176
10,6,66.00183642
11,6,64.52447944
12,6,64.90710822
13,6,64.41613785
14,6,67.46632945
15,6,64.2371275
16,6,72.24088253
17,6,69.26400846
18,6,63.69781894
19,6,62.77136704
20,6,63.42356538
21,6,61.35047864
22,6,64.84122533
23,6,60.87009285
0,7,59.29452188
1,7,60.88391045
2,7,62.11350846
3,7,61.93568722
4,7,61.15280767
5,7,64.64244515
6,7,65.60560078
7,7,66.17038623
8,7,65.05193266
9,7,64.13314214
10,7,66.17758974
11,7,68.78801687
12,7,64.13724367
13,7,64.14811249
14,7,66.72865941
15,7,65.31674181
16,7,65.0618651
17,7,63.98714344
18,7,62.5486225
19,7,63.37973423
20,7,63.44240584
21,7,65.52221922
22,7,62.46916684
23,7,66.17267629
0,8,60.45762251
1,8,66.95901446
2,8,60.4602963
3,8,62.63710472
4,8,64.39656229
5,8,66.92699679
6,8,67.55163852
7,8,67.24051191
8,8,65.59812778
9,8,64.66161788
10,8,65.7974775
11,8,65.25879626
12,8,64.84926984
13,8,64.08279312
14,8,64.10446967
15,8,64.85988254
16,8,64.77983599
17,8,64.71126005
18,8,66.29143516
19,8,62.1107425
20,8,62.69019022
21,8,62.16255956
22,8,65.45429898
23,8,62.45294839
0,9,60.29444322
1,9,60.30164033
2,9,62.09450826
3,9,60.96557613
4,9,61.36635045
5,9,65.2990884
6,9,66.29484744
7,9,66.41657091
8,9,65.68837893
9,9,66.9910432
10,9,67.4566828
11,9,68.72028634
12,9,66.23909695
13,9,65.63935298
14,9,68.85751216
15,9,64.87598014
16,9,66.74459162
17,9,67.25123721
18,9,64.43685944
19,9,62.31813685
20,9,61.81636728
21,9,61.41785633
22,9,61.51543206
23,9,60.99294588
0,10,64.38540059
1,10,60.5896716
2,10,59.90853812
3,10,61.81899716
4,10,63.21188591
5,10,64.59216386
6,10,67.97510099
7,10,65.15038849
8,10,64.28644541
9,10,64.44368905
10,10,66.3418833
11,10,63.56258183
12,10,66.75908711
13,10,68.65449288
14,10,64.32538005
15,10,66.36446834
16,10,70.26276765
17,10,67.94989022
18,10,69.82275737
19,10,64.28858464
20,10,61.57140883
21,10,62.49388323
22,10,62.25915999
23,10,60.12153969
0,11,63.05329241
1,11,61.38023364
2,11,61.94252042
3,11,60.8768297
4,11,59.29234813
5,11,61.81091416
6,11,62.83334222
7,11,62.83950475
8,11,63.01414147
9,11,61.38660561
10,11,61.47515167
11,11,61.3431704
12,11,61.99804556
13,11,61.91727568
14,11,62.75087783
15,11,63.73730028
16,11,67.33410832
17,11,63.60633109
18,11,62.27277773
19,11,67.86042058
20,11,60.87907091
21,11,62.01360166
22,11,59.99353264
23,11,61.27793167
0,12,59.10302095
1,12,57.68108944
2,12,57.00594182
3,12,58.59548864
