group,variable,value
00:00,1,63.74920491
01:00,1,65.55338377
02:00,1,63.36280501
03:00,1,63.42395344
04:00,1,66.21118779
05:00,1,70.06428204
06:00,1,75.50591674
07:00,1,73.52865915
08:00,1,69.05960565
09:00,1,70.07202517
10:00,1,68.87050145
11:00,1,68.56670042
12:00,1,76.79383402
13:00,1,72.50896922
14:00,1,69.89492583
15:00,1,69.93931508
16:00,1,68.73183699
17:00,1,67.17288531
18:00,1,66.39905158
19:00,1,66.59331563
20:00,1,65.22741529
21:00,1,65.21455963
22:00,1,68.09916058
23:00,1,65.62041555
00:00,2,62.93329694
01:00,2,63.0346382
02:00,2,63.58811498
03:00,2,65.89207528
04:00,2,65.5547009
05:00,2,71.93786872
06:00,2,70.30118399
07:00,2,71.98157308
08:00,2,68.87633256
09:00,2,68.82708801
10:00,2,72.22411845
11:00,2,71.07363819
12:00,2,67.41926644
13:00,2,69.27868656
14:00,2,68.30227373
15:00,2,70.48508942
16:00,2,67.86640032
17:00,2,67.7256386
18:00,2,67.7548922
19:00,2,66.38018432
20:00,2,68.99808597
21:00,2,65.76065115
22:00,2,69.44291636
23:00,2,66.2823388
00:00,3,66.01900968
01:00,3,63.5210661
02:00,3,63.27691545
03:00,3,64.17017984
04:00,3,65.37277137
05:00,3,65.99108404
06:00,3,66.96610947
07:00,3,66.12760342
08:00,3,69.70457628
09:00,3,68.24823875
10:00,3,66.79777779
11:00,3,66.27091668
12:00,3,69.13614646
13:00,3,69.79157779
14:00,3,67.39956529
15:00,3,66.2758991
16:00,3,65.70877407
17:00,3,72.19601563
18:00,3,66.99245965
19:00,3,65.99135633
20:00,3,69.10427821
21:00,3,64.71847542
22:00,3,68.20494654
23:00,3,68.31723276
00:00,4,66.72371458
01:00,4,63.86958651
02:00,4,62.73861213
03:00,4,63.66522316
04:00,4,66.47305739
05:00,4,62.56986878
06:00,4,64.1769149
07:00,4,63.83019532
08:00,4,67.14596525
09:00,4,64.62271326
10:00,4,69.34896916
11:00,4,69.58431214
12:00,4,65.23091618
13:00,4,66.93246343
14:00,4,65.85293957
15:00,4,65.38969747
16:00,4,67.36218958
17:00,4,66.25090308
18:00,4,66.79980467
19:00,4,65.74505423
20:00,4,68.18899078
21:00,4,67.83071266
22:00,4,65.87322281
