group,variable,value
00:00,1,62.94362564
01:00,1,60.92635445
02:00,1,61.51261651
03:00,1,60.98972832
04:00,1,62.81857638
05:00,1,66.6622913
06:00,1,67.43076696
07:00,1,71.60277594
08:00,1,68.24133814
09:00,1,72.38231121
10:00,1,69.17135556
11:00,1,66.82179747
12:00,1,66.48867884
13:00,1,70.26617547
14:00,1,65.91705519
15:00,1,65.59761909
16:00,1,67.22793849
17:00,1,66.92784788
18:00,1,67.76425986
19:00,1,67.82315362
20:00,1,65.84758508
21:00,1,66.26633734
22:00,1,66.87229663
23:00,1,68.61024771
00:00,2,70.84650798
01:00,2,71.99571562
02:00,2,62.0047756
03:00,2,60.24018603
04:00,2,60.55283617
05:00,2,61.96901221
06:00,2,65.27629466
07:00,2,63.91579931
08:00,2,63.40641092
09:00,2,64.13326892
10:00,2,64.17435228
11:00,2,64.92570979
12:00,2,64.56275492
13:00,2,65.03409404
14:00,2,66.32345165
15:00,2,65.69885136
16:00,2,66.70231558
17:00,2,75.18888991
18:00,2,64.71433854
19:00,2,68.10115159
20:00,2,65.50651541
21:00,2,65.03928714
22:00,2,66.17323906
23:00,2,65.82315536
00:00,3,65.42939297
01:00,3,60.90561919
02:00,3,59.25898414
03:00,3,59.45292092
04:00,3,59.98798942
05:00,3,62.22991137
06:00,3,63.25356102
07:00,3,63.02175347
08:00,3,62.66327588
09:00,3,67.29426446
10:00,3,68.5177455
11:00,3,64.70925848
12:00,3,65.79923231
13:00,3,67.8940646
14:00,3,68.36375691
15:00,3,65.05716259
16:00,3,65.95539798
17:00,3,65.16955903
18:00,3,64.66854139
19:00,3,65.52601847
20:00,3,64.35586478
21:00,3,63.27869335
22:00,3,66.96125947
23:00,3,64.52544799
00:00,4,64.1209358
01:00,4,64.08449232
02:00,4,60.18248966
03:00,4,61.07842177
04:00,4,62.4937026
05:00,4,66.04229365
06:00,4,67.24697143
07:00,4,68.30925902
08:00,4,66.67327015
09:00,4,68.02706226
10:00,4,66.30031926
11:00,4,68.25747073
12:00,4,64.33501761
13:00,4,68.05750828
14:00,4,70.24194152
15:00,4,69.04772285
16:00,4,67.12194024
17:00,4,67.72380898
18:00,4,65.69568908
19:00,4,67.56777939
20:00,4,66.15578248
21:00,4,63.43054395
22:00,4,63.74591926
23:00,4,63.21963046
00:00,5,61.17937395
01:00,5,60.69511995
02:00,5,60.22241865
03:00,5,61.58751299
04:00,5,61.71348174
05:00,5,65.48034676
06:00,5,67.64036032
07:00,5,67.69187893
08:00,5,66.00675941
09:00,5,64.74318134
10:00,5,65.64999309
11:00,5,65.25807641
12:00,5,64.8558865
13:00,5,66.35563919
14:00,5,74.4704548
15:00,5,70.30187511
16:00,5,66.68039265
17:00,5,67.85234725
18:00,5,67.74682304
19:00,5,66.70126599
20:00,5,63.85185832
21:00,5,61.651073
22:00,5,61.96089401
23:00,5,61.53256809
00:00,6,62.57684695
01:00,6,60.30249037
02:00,6,62.36729679
03:00,6,60.79655911
04:00,6,62.89852172
05:00,6,66.33121892
06:00,6,67.19337735
07:00,6,68.57308515
08:00,6,66.26198918
09:00,6,66.33718699
10:00,6,67.40811813
11:00,6,65.33867411
12:00,6,66.19360015
13:00,6,64.5424243
14:00,6,67.94859411
15:00,6,66.91185266
16:00,6,66.20416708
17:00,6,66.07239698
18:00,6,67.79583816
19:00,6,64.55943972
20:00,6,63.55691235
21:00,6,62.76309293
22:00,6,62.69247776
23:00,6,61.02482217
00:00,7,62.57950155
01:00,7,61.40067049
02:00,7,59.68956265
03:00,7,60.92927521
04:00,7,62.9135227
05:00,7,66.30236167
06:00,7,67.53676344
07:00,7,67.23246557
08:00,7,66.80121924
09:00,7,68.71055464
10:00,7,66.54309349
11:00,7,64.94517165
12:00,7,67.23598361
13:00,7,64.21592023
14:00,7,64.71977481
15:00,7,65.40464715
16:00,7,70.739664
17:00,7,66.52577181
18:00,7,65.13678741
19:00,7,65.30626846
20:00,7,63.09837896
21:00,7,65.31413786
22:00,7,64.48297686
23:00,7,64.29786298
00:00,8,63.28136619
01:00,8,64.32825336
02:00,8,63.39304902
03:00,8,61.69975349
04:00,8,62.79438131
05:00,8,65.58256738
06:00,8,69.74689884
07:00,8,67.57316739
08:00,8,65.38793491
09:00,8,65.55024088
10:00,8,65.25537112
11:00,8,65.92701127
12:00,8,65.65475092
13:00,8,75.86775564
14:00,8,67.0506904
15:00,8,65.33600011
16:00,8,66.49529583
17:00,8,64.89984947
18:00,8,64.87618142
19:00,8,65.32283184
20:00,8,65.98594949
21:00,8,65.53999125
22:00,8,69.14910636
23:00,8,75.26691268
00:00,9,73.02862477
01:00,9,74.96450258
02:00,9,69.54675756
03:00,9,63.33385089
04:00,9,65.30318282
05:00,9,62.25509851
06:00,9,65.57928801
07:00,9,63.55506984
08:00,9,64.46646385
09:00,9,62.95089431
10:00,9,65.151924
11:00,9,65.58993281
12:00,9,66.23492676
13:00,9,66.24518225
14:00,9,63.54891772
15:00,9,63.40472324
16:00,9,64.93476024
17:00,9,65.06895796
18:00,9,64.62378787
19:00,9,64.56311465
20:00,9,64.09131753
21:00,9,62.50385741
22:00,9,61.97299667
23:00,9,61.40036985
00:00,10,60.25271053
01:00,10,60.07460171
02:00,10,58.77584672
03:00,10,57.944192
04:00,10,58.74634139
05:00,10,60.46539913
06:00,10,61.13908434
07:00,10,62.07091371
08:00,10,61.90511978
09:00,10,63.25570062
10:00,10,62.06929859
11:00,10,65.45222161
12:00,10,63.25377266
13:00,10,65.07265065
14:00,10,64.6372329
15:00,10,65.03018763
16:00,10,68.00723813
17:00,10,69.68729327
18:00,10,64.25632708
19:00,10,66.40616095
20:00,10,67.44703281
21:00,10,64.6819196
22:00,10,62.6278097
23:00,10,61.96767185
00:00,11,60.32581149
01:00,11,60.83475479
02:00,11,60.66122224
03:00,11,60.95539687
04:00,11,62.82286151
05:00,11,66.55751384
06:00,11,67.68961369
07:00,11,67.12913172
08:00,11,66.38458159
09:00,11,67.36164514
10:00,11,66.51482686
11:00,11,65.76829596
12:00,11,66.20322975
13:00,11,67.37722925
14:00,11,65.55472797
15:00,11,65.1618016
16:00,11,64.97252114
17:00,11,70.41538275
18:00,11,67.89821373
19:00,11,63.76141429
20:00,11,64.48819992
21:00,11,65.49938189
22:00,11,64.16775468
23:00,11,64.19331374
00:00,12,64.11973692
01:00,12,69.85218597
02:00,12,70.41576852
03:00,12,67.19821608
04:00,12,67.14098186
05:00,12,67.5357193
06:00,12,68.07728127
07:00,12,67.76878302
08:00,12,67.20477776
09:00,12,66.19280849
10:00,12,67.83363562
11:00,12,70.90608173
12:00,12,65.40169924
13:00,12,68.0911844
14:00,12,68.60576647
15:00,12,64.76361289
16:00,12,64.48342587
17:00,12,63.6637835
18:00,12,63.13942085
19:00,12,63.21748478
20:00,12,61.98337269
21:00,12,63.04556489
22:00,12,63.88451385
23:00,12,63.73761929
00:00,13,62.80496239
01:00,13,63.80482261
02:00,13,64.70324635
03:00,13,62.92563338
04:00,13,63.63222938
05:00,13,67.27737263
06:00,13,67.70305529
07:00,13,67.46004911
08:00,13,66.25132736
09:00,13,65.79095449
10:00,13,65.53877291
11:00,13,65.69684272
12:00,13,66.06962655
13:00,13,64.83871206
14:00,13,65.45733053
15:00,13,65.26398728
16:00,13,67.39929191
17:00,13,63.93123387
18:00,13,67.39081474
19:00,13,66.02855289
20:00,13,66.79247465
21:00,13,66.45061739
22:00,13,65.43000591
23:00,13,66.4075345
00:00,14,65.12696409
01:00,14,65.70796727
02:00,14,62.39206759
03:00,14,65.343606
04:00,14,66.24309565
05:00,14,67.90644243
06:00,14,67.01681719
07:00,14,67.29258493
08:00,14,67.25741459
09:00,14,69.09458563
10:00,14,66.07219516
11:00,14,65.92733166
12:00,14,68.16038606
13:00,14,65.70326914
14:00,14,68.44651101
15:00,14,70.90783317
16:00,14,66.32589749
17:00,14,69.23268294
18:00,14,69.06239799
19:00,14,66.04544322
20:00,14,64.45575606
21:00,14,63.72735021
22:00,14,65.06883971
23:00,14,64.78790314
00:00,15,62.31339692
01:00,15,63.7817256
02:00,15,62.46414981
03:00,15,63.89268725
04:00,15,67.02270285
05:00,15,66.96333033
06:00,15,68.35175973
07:00,15,67.3326347
08:00,15,69.39287074
09:00,15,70.67598238
10:00,15,67.38751882
11:00,15,66.70361662
12:00,15,68.50847434
13:00,15,67.35415308
14:00,15,66.89065753
15:00,15,72.67377607
16:00,15,65.90491549
17:00,15,66.52676614
18:00,15,73.98590366
19:00,15,66.61652185
20:00,15,66.20485719
21:00,15,64.73443956
22:00,15,64.99666291
23:00,15,63.81655992
00:00,16,64.77802231
01:00,16,65.89719339
02:00,16,61.38591535
03:00,16,66.05629123
04:00,16,64.65211328
05:00,16,63.46120366
06:00,16,65.59244593
07:00,16,65.43257619
08:00,16,66.42373208
09:00,16,64.15354453
10:00,16,64.38755821
11:00,16,64.55578128
12:00,16,69.8000396
13:00,16,65.86293221
14:00,16,70.47101701
15:00,16,68.96447663
16:00,16,70.7508607
17:00,16,72.96237057
18:00,16,70.63224504
19:00,16,68.21837982
20:00,16,69.36774767
21:00,16,64.89572033
22:00,16,62.2740275
23:00,16,65.66991019
00:00,17,61.30688507
01:00,17,62.70986409
02:00,17,60.2589557
03:00,17,60.134872
04:00,17,60.47759044
05:00,17,61.32518803
06:00,17,63.11942155
07:00,17,62.87197569
08:00,17,65.74770719
