group,variable,value
00:00,1,65.82772257
01:00,1,63.47444217
02:00,1,62.1478274
03:00,1,65.78375195
04:00,1,66.26902458
05:00,1,69.96780184
06:00,1,70.94028461
07:00,1,71.35184508
08:00,1,70.33725105
09:00,1,68.55521621
10:00,1,69.18641624
11:00,1,68.0134068
12:00,1,70.48271619
13:00,1,71.47471913
14:00,1,67.94343203
15:00,1,70.46261837
16:00,1,68.15145567
17:00,1,71.33415169
18:00,1,69.01605766
19:00,1,67.9893175
20:00,1,70.96157088
21:00,1,67.78476491
22:00,1,68.91789064
23:00,1,64.5308369
00:00,2,66.18329122
01:00,2,65.78365664
02:00,2,65.56002194
03:00,2,65.45505816
04:00,2,66.55788731
05:00,2,69.56703064
06:00,2,71.47614914
07:00,2,70.63178895
08:00,2,71.0329493
09:00,2,72.83453907
10:00,2,70.70508839
11:00,2,69.19582149
12:00,2,69.07076999
13:00,2,71.65999088
14:00,2,70.41783287
15:00,2,69.33477657
16:00,2,71.76050702
17:00,2,68.80256195
18:00,2,68.24708173
19:00,2,66.67302204
20:00,2,65.76148557
21:00,2,67.86775045
22:00,2,66.96685124
23:00,2,64.92690029
00:00,3,64.39167714
01:00,3,64.81764341
02:00,3,63.30332897
03:00,3,64.41227493
04:00,3,65.287727
05:00,3,68.23215326
06:00,3,68.91340124
07:00,3,68.49627306
08:00,3,71.65570561
09:00,3,72.67821946
10:00,3,72.75604297
11:00,3,73.68446422
12:00,3,71.72854835
13:00,3,73.01620054
14:00,3,71.16269648
15:00,3,71.73465406
16:00,3,70.38872323
17:00,3,68.47040564
18:00,3,67.89916965
19:00,3,68.58626373
20:00,3,68.69197263
21:00,3,71.33312788
22:00,3,67.75283513
23:00,3,65.36654104
00:00,4,70.0881293
01:00,4,65.72822596
02:00,4,67.28428739
03:00,4,65.871584
04:00,4,67.19928959
05:00,4,70.72897043
06:00,4,72.72955415
07:00,4,69.09030006
08:00,4,73.23661103
09:00,4,70.69378992
10:00,4,70.26193798
11:00,4,69.76214959
12:00,4,71.21103816
13:00,4,71.20368748
14:00,4,69.16857857
15:00,4,71.45148319
16:00,4,67.35540058
17:00,4,67.14709021
18:00,4,68.96141566
19:00,4,71.48875056
20:00,4,69.537576
21:00,4,68.81160754
22:00,4,69.34439892
23:00,4,69.62515479
00:00,5,65.57588291
01:00,5,68.95860069
02:00,5,64.02290138
03:00,5,63.5974003
04:00,5,62.92057122
05:00,5,64.08981656
06:00,5,65.71471264
07:00,5,66.3592595
08:00,5,66.67236296
09:00,5,68.43298293
10:00,5,66.39647232
11:00,5,69.19045421
12:00,5,67.19210549
13:00,5,68.36586026
14:00,5,72.37039643
15:00,5,73.16895829
16:00,5,71.81398545
17:00,5,72.21126222
18:00,5,72.94485764
19:00,5,73.38697817
20:00,5,67.77736524
21:00,5,70.49402985
22:00,5,69.15280481
23:00,5,69.39633289
00:00,6,67.72666948
01:00,6,67.86676282
02:00,6,65.15374129
03:00,6,67.26092466
04:00,6,68.54112727
05:00,6,64.15055648
06:00,6,67.33786641
07:00,6,64.826467
08:00,6,65.05349247
09:00,6,65.93793708
10:00,6,66.62183964
11:00,6,67.59484917
12:00,6,71.94023476
13:00,6,70.29568597
14:00,6,76.91802028
15:00,6,70.28395858
16:00,6,75.10453281
17:00,6,73.68344328
